"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "JSON", "CSS", "comment", "blank", "total"
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/EmotionalIntelligence/EmotionalIntelligence.compute.tsx", "TypeScript JSX", 0, 192, 0, 0, 0, 7, 28, 227
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/EmotionalIntelligence/EmotionalIntelligence.data.tsx", "TypeScript JSX", 0, 196, 0, 0, 0, 0, 3, 199
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/EmotionalIntelligence/EmotionalIntelligence.styles.tsx", "TypeScript JSX", 0, 133, 0, 0, 0, 1, 18, 152
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/EmotionalIntelligence/EmotionalIntelligence.tsx", "TypeScript JSX", 0, 434, 0, 0, 0, 23, 31, 488
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/EmotionalIntelligence/SunsetCanvas.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 5, 15, 127
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/IdentityWallet/IdentityWallet.tsx", "TypeScript JSX", 0, 272, 0, 0, 0, 33, 13, 318
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Leetmigo/Leetmigo.compute.tsx", "TypeScript JSX", 0, 342, 0, 0, 0, 83, 39, 464
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Leetmigo/Leetmigo.data.tsx", "TypeScript JSX", 0, 4370, 0, 0, 0, 1, 11, 4382
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Leetmigo/Leetmigo.render.tsx", "TypeScript JSX", 0, 186, 0, 0, 0, 22, 16, 224
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Leetmigo/Leetmigo.styles.tsx", "TypeScript JSX", 0, 84, 0, 0, 0, 4, 7, 95
